DS,Size,Op,OpCount,Cache,Misses
SortedArray,1000000,Add,1000000,I1mr,11626140
SortedArray,1000000,Add,1000000,ILmr,66713
SortedArray,1000000,Add,1000000,Dr,968278699
SortedArray,1000000,Add,1000000,D1mr,8875037
SortedArray,1000000,Add,1000000,DLmr,548104
SortedArray,1000000,Add,1000000,Dw,816106809
SortedArray,1000000,Add,1000000,D1mw,18449863
SortedArray,1000000,Add,1000000,DLmw,1131465
AutoLoad,1000000,Add,1000000,Ir,2065784876
AutoLoad,1000000,Add,1000000,I1mr,12076256
AutoLoad,1000000,Add,1000000,ILmr,74226
AutoLoad,1000000,Add,1000000,Dr,602142537
AutoLoad,1000000,Add,1000000,D1mr,16800235
AutoLoad,1000000,Add,1000000,DLmr,564483
AutoLoad,1000000,Add,1000000,Dw,434878704
AutoLoad,1000000,Add,1000000,D1mw,17552641
AutoLoad,1000000,Add,1000000,DLmw,1124856
RBSTree,1000000,Add,1000000,Ir,23954306499
RBSTree,1000000,Add,1000000,I1mr,23642833
RBSTree,1000000,Add,1000000,ILmr,100196
RBSTree,1000000,Add,1000000,Dr,8550198152
RBSTree,1000000,Add,1000000,D1mr,321543376
RBSTree,1000000,Add,1000000,DLmr,16757606
RBSTree,1000000,Add,1000000,Dw,5198453936
RBSTree,1000000,Add,1000000,D1mw,410717837
RBSTree,1000000,Add,1000000,DLmw,8897107
SkipList,1000000,Add,1000000,Ir,20050187419
SkipList,1000000,Add,1000000,I1mr,24481193
SkipList,1000000,Add,1000000,ILmr,149066
SkipList,1000000,Add,1000000,Dr,6382831565
SkipList,1000000,Add,1000000,D1mr,59194536
SkipList,1000000,Add,1000000,DLmr,25341014
SkipList,1000000,Add,1000000,Dw,2718335888
SkipList,1000000,Add,1000000,D1mw,112248121
SkipList,1000000,Add,1000000,DLmw,11944546
BadBisect,10000,Base,10000,Ir,481257429
BadBisect,10000,Base,10000,I1mr,10149113
BadBisect,10000,Base,10000,ILmr,46310
BadBisect,10000,Base,10000,Dr,154307761
BadBisect,10000,Base,10000,D1mr,5145962
BadBisect,10000,Base,10000,DLmr,352901
BadBisect,10000,Base,10000,Dw,91020531
BadBisect,10000,Base,10000,D1mw,1585375
BadBisect,10000,Base,10000,DLmw,441527
SortedList,10000,Base,10000,Ir,481054953
SortedList,10000,Base,10000,I1mr,10150421
SortedList,10000,Base,10000,ILmr,46270
SortedList,10000,Base,10000,Dr,154251818
SortedList,10000,Base,10000,D1mr,5140498
SortedList,10000,Base,10000,DLmr,352767
SortedList,10000,Base,10000,Dw,90992773
SortedList,10000,Base,10000,D1mw,1581602
SortedList,10000,Base,10000,DLmw,440573
SortedArray,10000,Base,10000,Ir,480292678
SortedArray,10000,Base,10000,I1mr,10152102
SortedArray,10000,Base,10000,ILmr,46259
SortedArray,10000,Base,10000,Dr,154109377
SortedArray,10000,Base,10000,D1mr,5085760
SortedArray,10000,Base,10000,DLmr,352953
SortedArray,10000,Base,10000,Dw,90985285
SortedArray,10000,Base,10000,D1mw,1580302
SortedArray,10000,Base,10000,DLmw,438962
AutoLoad,10000,Base,10000,Ir,481041386
AutoLoad,10000,Base,10000,I1mr,10154842
AutoLoad,10000,Base,10000,ILmr,46134
AutoLoad,10000,Base,10000,Dr,154183962
AutoLoad,10000,Base,10000,D1mr,5134974
AutoLoad,10000,Base,10000,DLmr,352661
AutoLoad,10000,Base,10000,Dw,90906395
AutoLoad,10000,Base,10000,D1mw,1584711
AutoLoad,10000,Base,10000,DLmw,438964
RBSTree,10000,Base,10000,Ir,1031303485
RBSTree,10000,Base,10000,I1mr,18223899
RBSTree,10000,Base,10000,ILmr,51203
RBSTree,10000,Base,10000,Dr,336524282
RBSTree,10000,Base,10000,D1mr,9331514
RBSTree,10000,Base,10000,DLmr,357600
RBSTree,10000,Base,10000,Dw,194251726
RBSTree,10000,Base,10000,D1mw,4218978
RBSTree,10000,Base,10000,DLmw,556449
